product_id,category,category_label,subcategory,base_price,base_quantity_weekly,unit_cost,elasticity_true,veblen_flag,energy_share,materials_share,transport_share,other_cost_share
P0001,fmcg,Largo Consumo / FMCG,bevande,12.06,2286.3,8.7,-1.471,False,0.124,0.544,0.164,0.168
P0002,fmcg,Largo Consumo / FMCG,bevande,3.67,2334.2,2.29,-1.528,False,0.261,0.506,0.117,0.117
P0003,fmcg,Largo Consumo / FMCG,alimentare_confezionato,4.95,2767.3,2.79,-1.493,False,0.258,0.49,0.103,0.149
P0004,fmcg,Largo Consumo / FMCG,bevande,13.61,3697.7,8.02,-1.614,False,0.111,0.339,0.152,0.398
P0005,fmcg,Largo Consumo / FMCG,bevande,11.68,4483.9,7.19,-2.085,False,0.217,0.347,0.069,0.366
P0006,fmcg,Largo Consumo / FMCG,cura_persona,4.95,3246.3,3.16,-1.61,False,0.308,0.501,0.108,0.083
P0007,fmcg,Largo Consumo / FMCG,cura_persona,5.75,3299.1,3.32,-1.562,False,0.102,0.497,0.15,0.252
P0008,fmcg,Largo Consumo / FMCG,bevande,12.15,2369.6,8.06,-1.896,False,0.129,0.467,0.121,0.284
P0009,fmcg,Largo Consumo / FMCG,cura_persona,9.35,3642.0,6.33,-1.595,False,0.24,0.376,0.055,0.33
P0010,fmcg,Largo Consumo / FMCG,cura_persona,4.79,2160.2,3.45,-2.197,False,0.115,0.37,0.094,0.421
P0011,fmcg,Largo Consumo / FMCG,cura_persona,10.6,2777.5,7.5,-1.581,False,0.202,0.504,0.075,0.22
P0012,fmcg,Largo Consumo / FMCG,alimentare_confezionato,3.17,3464.8,2.04,-1.964,False,0.225,0.338,0.154,0.282
P0013,fmcg,Largo Consumo / FMCG,cura_persona,7.8,2045.8,4.76,-1.828,False,0.19,0.322,0.068,0.42
P0014,fmcg,Largo Consumo / FMCG,bevande,13.81,3370.6,8.33,-1.345,False,0.295,0.479,0.117,0.109
P0015,fmcg,Largo Consumo / FMCG,cura_persona,5.54,862.6,4.05,-1.506,False,0.151,0.376,0.137,0.336
P0016,fmcg,Largo Consumo / FMCG,alimentare_confezionato,13.14,3615.1,9.11,-1.719,False,0.257,0.446,0.147,0.15
P0017,fmcg,Largo Consumo / FMCG,alimentare_confezionato,3.1,2190.4,1.73,-1.324,False,0.182,0.336,0.066,0.416
